Player,Position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so
"Aaron Gagnon",C,0,0,1,0,15,7,0,3,7,0,0,0,72.7,11,3,8,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,2,1,0,0,1,0,27,0,2,0,2,17,8,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Johnson",D,6,0.15,41,0,560,13,5,0,0,3,8,1,0,0,0,0,4,0.1,0,41,25,0,70,1,0,15,0,23,0,10,0.24,35,-6,36,0,1,0,0,1,2,0,0,20.8,44,1,0,0,0,0,854,11.1,36,0,16,641,15,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Rome",D,4,0.08,49,0,680,13,4,0,0,0,4,0,0,0,0,0,0,0,0,49,16,0,58,2,0,7,0,21,0,4,0.08,24,-2,19,0,0,0,0,0,0,0,0,20,43,0,0,0,0,0,979,0,49,0,6,743,15,46,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Voros",LW,4,0.1,11,0,249,6,4,3,3,2,6,0,50,6,3,3,3,0.07,0,41,0,0,56,13,0,12,0,6,0,7,0.17,89,-2,2,0,0,0,0,1,1,0,0,9.5,0,0,0,0,0,0,390,13.6,22,0,2,251,6,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Ward",D,12,0.16,146,0,1147,14,10,0,0,1,11,1,0,0,0,0,1,0.01,0,77,24,0,177,0,0,31,0,22,0,13,0.17,62,-15,17,0,0,0,0,0,0,0,0,23,167,2,2,0,0,0,1772,2.4,41,2,12,1332,17,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Burish",RW,3,0.23,9,0,112,8,3,13,6,1,4,0,33.3,21,14,7,1,0.08,0,13,2,0,9,2,0,2,0,7,0,4,0.31,14,2,0,0,0,0,0,0,0,0,0,12.7,1,0,0,1,1,0,165,11.1,9,0,2,114,8,41,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Foote",D,9,0.13,102,0,1102,16,8,0,0,0,8,0,0,0,0,0,0,0,1,67,22,0,111,0,0,27,0,21,0,9,0.13,64,8,15,0,0,0,0,0,0,0,0,26.2,179,2,1,0,0,0,1753,0,26,1,11,1297,19,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Mair",C,8,0.12,13,0,628,9,7,83,90,6,13,3,52.2,178,85,93,6,0.09,0,69,18,0,95,3,0,23,1,19,0,14,0.2,73,-2,4,0,1,1,1,0,1,0,0,13.8,4,0,0,1,2,0,950,9,67,0,11,637,9,40,0,0,1,0,0,0,0,0,0,0,0,0,0
"Adam McQuaid",D,0,0,17,0,197,10,0,0,0,1,1,1,0,0,0,0,1,0.05,0,19,5,1,29,3,0,3,0,9,0,1,0.05,21,-5,0,0,0,0,0,0,0,0,0,16.6,6,0,0,0,0,0,316,10,10,0,2,203,10,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Pardy",D,7,0.12,60,0,821,14,7,0,0,2,9,0,0,0,0,0,2,0.04,0,57,28,0,54,2,0,19,0,21,0,9,0.16,48,-3,16,0,0,0,0,0,0,0,0,22.1,65,1,0,0,0,0,1259,5,40,0,16,903,15,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adrian Aucoin",D,20,0.24,67,0,1366,16,9,0,0,7,16,0,0,0,0,0,8,0.1,0,82,22,2,132,0,0,28,0,78,1,28,0.34,56,2,261,3,11,0,0,1,12,0,0,29.3,221,2,0,0,0,0,2406,5.6,144,0,17,1849,22,46,6,6,9,0,0,0,0,0,0,0,0,0,0
"Alec Martinez",D,0,0,7,0,59,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,1,0,2,0,0,0,2,-2,1,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,74,0,6,0,1,61,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ales Hemsky",RW,15,0.68,11,1,311,14,10,0,0,4,14,0,100,1,0,1,7,0.32,0,22,15,0,5,0,0,4,0,18,0,22,1,8,7,82,3,5,0,1,3,8,0,0,22.4,0,0,0,0,0,0,492,12.3,57,0,8,394,17,48,2,1,4,0,0,0,0,0,0,0,0,0,0
"Ales Kotalik",RW,16,0.23,23,0,784,11,4,5,4,6,10,4,50,10,5,5,11,0.15,1,71,24,4,117,1,0,26,0,71,0,27,0.38,67,-17,219,3,12,0,1,5,17,0,0,18,3,0,0,0,0,0,1279,6.4,172,0,22,1006,14,47,1,0,4,0,0,0,0,0,0,0,0,0,0
"Alex Auld",G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,0,0,0,0,0,20,9,7,3,610,64,2.96,546,0.895,0
"Alex Burrows",LW,32,0.39,54,3,1152,14,28,9,10,26,54,6,41.2,34,20,14,35,0.43,0,82,23,3,97,1,0,48,2,62,0,67,0.82,121,34,117,1,2,2,0,4,6,0,0,25,194,2,2,9,4,5,2052,16.7,209,7,68,1464,17,43,1,0,1,0,0,0,0,0,0,0,0,0,0
"Alex Goligoski",D,29,0.42,93,0,1112,16,14,0,0,6,20,0,0,0,0,0,8,0.12,0,69,48,0,50,0,0,11,0,45,0,37,0.54,22,7,260,3,15,0,0,2,17,0,0,24,104,1,0,0,0,0,1656,8.2,98,0,12,1478,21,54,0,0,1,0,0,0,0,0,0,0,0,0,0
"Alex Kovalev",RW,31,0.4,19,1,1136,14,21,2,0,14,35,6,33.3,3,2,1,18,0.23,0,77,71,5,34,0,0,27,0,71,1,49,0.64,54,-8,249,3,10,0,1,4,14,0,0,19.3,13,0,0,0,0,0,1487,10.9,165,0,34,1398,18,56,5,2,9,0,0,0,0,0,0,0,0,0,0
