player,position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so
"Aaron Downey",RW,1,0.25,1,0,20,5,1,0,0,1,2,0,0,0,0,0,1,0.25,0,4,2,0,11,1,0,1,0,0,0,2,0.5,7,0,0,0,0,0,0,0,0,0,0.5,8.5,0,0,0,0,0,0,34,0.5,2,0,0,20,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Johnson",D,5,0.13,35,0,465,12,5,0,0,3,8,0,0,0,0,0,3,0.08,0,38,9,1,41,1,0,14,0,16,0,8,0.21,33,19,10,0,0,0,0,0,0,0,0.7,19.3,61,1,0,0,0,0,733,0.111,27,0,8,537,14,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron MacKenzie",D,0,0,8,0,66,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6,23,7,1,0,0,0,0,115,0,3,0,1,73,14,38,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Rome",D,1,0.12,8,0,114,14,1,0,0,0,1,0,0,0,0,0,0,0,0,8,2,0,12,0,0,0,0,4,0,1,0.12,0,1,5,0,0,0,0,0,0,0,0.9,22.3,3,0,0,0,0,0,178,0,7,0,2,123,15,42,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Voros",LW,8,0.15,8,0,517,9,8,6,4,5,13,0,0.4,10,6,4,8,0.15,0,54,11,1,113,10,0,26,2,28,0,16,0.3,122,-9,85,1,0,0,0,3,3,0,1.2,15.3,0,0,0,0,0,0,827,0.121,66,0,6,603,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Ward",D,7,0.11,124,0,1068,16,6,0,0,2,8,2,0,0,0,0,3,0.05,0,65,22,0,151,0,0,22,0,31,0,10,0.15,44,16,19,0,1,0,0,0,1,0,0.8,22.3,148,2,0,0,0,1,1447,0.057,53,1,5,1236,19,51,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Burish",RW,3,0.05,37,0,479,7,3,53,37,6,9,2,0.395,124,75,49,6,0.09,1,66,1,2,47,5,0,19,2,13,0,9,0.14,93,3,3,0,0,1,1,0,0,0,1.3,14.5,124,1,0,21,11,0,960,0.072,83,0,11,607,9,38,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Foote",D,6,0.14,77,0,668,15,6,0,0,1,7,0,0,0,0,0,1,0.02,0,42,28,1,54,0,0,15,0,10,0,7,0.17,30,-12,6,0,0,0,0,0,0,0,0.5,26.1,152,3,0,0,0,0,1096,0.053,19,0,17,826,19,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Hall",RW,5,0.07,37,0,630,8,4,91,115,4,8,1,0.5,338,169,169,5,0.07,0,74,6,0,85,3,0,7,0,28,0,10,0.14,29,-9,8,0,1,2,5,1,2,0,1.2,18.1,189,2,0,76,49,0,1341,0.056,90,0,18,828,11,37,1,0,1,0,0,0,0,0,0,0,0,0,0
"Adam Mair",C,11,0.15,20,0,776,10,11,202,192,8,19,3,0.483,414,214,200,8,0.11,0,75,22,1,107,5,0,25,2,35,0,19,0.25,95,4,12,0,0,5,5,0,0,0,1,15.5,4,0,0,7,3,0,1162,0.107,75,0,19,793,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0
