player,position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so
"Aaron Downey",RW,3,0.05,6,0,255,4,3,0,0,0,3,0,0,0,0,0,0,0,0,56,4,0,79,10,0,23,2,4,0,3,0.05,116,0,1,0,0,0,0,0,0,0,0.3,7.5,0,0,0,0,0,0,422,0,15,0,3,256,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Johnson",D,2,0.07,28,0,344,11,1,0,0,0,1,0,0,0,0,0,0,0,0,30,16,0,41,0,0,15,0,6,0,2,0.07,30,2,54,1,1,0,0,0,1,0,0.5,17.1,16,0,0,0,0,0,513,0,16,0,18,415,13,49,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Miller",D,8,0.14,80,0,834,14,8,0,0,1,9,1,0,0,0,0,1,0.02,0,57,29,1,37,0,0,11,1,18,0,9,0.16,32,-1,9,0,0,0,0,0,0,0,0.5,23.5,144,2,0,0,0,0,1339,0.037,27,0,15,988,17,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Rome",D,1,0.06,17,0,260,15,1,0,0,1,2,0,0,0,0,0,1,0.06,0,17,4,0,33,3,0,4,1,9,0,2,0.12,33,-4,20,1,0,0,0,0,0,0,0.9,24.1,27,1,0,0,0,0,409,0.067,15,0,2,309,18,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Voros",LW,7,0.13,5,0,427,7,6,10,2,7,13,4,0.2,15,12,3,7,0.13,0,55,10,1,96,15,0,23,2,19,0,14,0.25,141,-7,77,1,1,2,1,0,1,0,0.9,15.3,0,0,0,0,0,0,839,0.135,52,0,8,505,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aaron Ward",D,8,0.12,119,0,1076,16,5,0,0,5,10,0,0,0,0,0,5,0.08,0,65,18,3,143,0,0,27,0,37,2,13,0.2,54,9,110,1,3,0,0,0,3,0,1,24.5,160,2,0,0,0,0,1590,0.074,68,0,5,1348,20,51,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Berti",LW,0,0,1,0,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,13,0,0,0,0,0,0,26,0,1,0,0,20,10,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Burish",RW,4,0.05,66,0,701,8,4,94,78,3,7,0,0.42,264,153,111,4,0.05,3,81,7,1,89,16,0,32,4,11,0,8,0.1,214,-13,19,0,0,2,1,0,0,0,0.9,18,230,2,0,57,32,1,1455,0.058,69,1,11,951,11,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Foote",D,15,0.2,148,0,1376,18,12,0,0,0,12,0,0,0,0,0,1,0.01,0,75,18,0,93,1,0,36,3,30,0,16,0.21,107,2,40,0,2,0,0,0,2,0,0.9,29.4,337,4,1,0,0,1,2203,0.015,66,2,18,1754,23,48,0,0,1,0,0,0,0,0,0,0,0,0,0
"Adam Hall",RW,4,0.09,30,0,386,8,3,90,85,2,5,0,0.503,290,144,146,2,0.04,0,46,2,0,45,2,0,7,0,16,0,6,0.13,24,-2,10,0,1,4,3,0,1,0,0.8,17.6,149,3,0,50,58,0,809,0.051,39,0,7,546,11,41,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adam Mair",C,12,0.17,16,0,607,8,12,194,160,5,17,0,0.454,361,197,164,5,0.07,0,72,16,2,112,4,0,23,0,18,0,17,0.24,66,-2,14,0,0,2,4,0,0,0,0.9,12.1,16,0,0,1,0,0,872,0.081,62,0,13,638,8,44,0,0,0,0,0,0,0,0,0,0,0,0,0
