player,position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so
"Brett Carson",D,1,0.1,12,0,101,10.1,1,0,0,0,1,0,0,0,0,0,0,0,0,10,3,0,4,0,0,0,0,3,0,1,0.1,0,-1,1,0.1,0,0,0,0,0,0,0.8,15.6,0,0,0,0,0,0,156,0,8,0,0,109.28,10.833,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brett Clark",D,1,0.125,11,0,103,12.875,1,0,0,0,1,0,0,0,0,0,0,0,0,8,4,0,5,0,0,0,0,2,0,1,0.125,0,-9,0,0,0,0,0,0,0,0,0.75,21,3,0.375,0,0,0,0,168,0,6,0,1,112.53,13.95,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brett Connolly",RW,0,0,1,0,41,8.2,0,0,0,0,0,0,0.8,5,1,4,1,0.2,0,5,0,0,2,0,0,0,0,2,0,1,0.2,0,-3,7,1.4,0,0,0,1,1,0,2,14.6,0,0,0,0,0,0,73,0.1,10,0,4,51.37,10.12,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brett Sutter",LW,0,0,0,0,23,7.667,0,0,0,0,0,0,0.571,14,6,8,0,0,0,3,0,0,7,0,0,2,0,0,0,0,0,4,-1,0,0,0,0,0,0,0,0,0.667,13,0,0,0,0,0,0,39,0,2,0,1,25.04,8.163,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian Boucher",G,0,0,0,0,108,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,19,4.75,0,0,0,0,0,0,0,0,14,3.5,0,0,0,0,0,0,0,0,0,144.01,36.003,0,0,0,0,1,0,2,0,55,6,2.5,49,0.891,0
"Brian Boyle",C,4,0.105,30,1,430,11.316,2,0,0,2,4,0,0.564,381,166,215,3,0.079,0,38,7,1,145,1,0,12,0,29,0,7,0.184,29,-13,13,0.342,2,0,0,1,3,0,1.5,19.5,56,1.474,0,0,0,0,741,0.053,57,0,12,540.21,14.207,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian Campbell",D,19,0.396,65,0,965,20.104,8,0,0,2,10,0,0,0,0,0,8,0.167,0,48,27,2,14,0,0,7,0,34,0,27,0.563,12,-22,162,3.375,11,0,0,6,17,0,1.458,28.542,71,1.479,0,0,0,0,1370,0.114,70,0,14,1268,26.405,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian Elliott",G,0,0,0,0,1075,43,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,88,3.52,0,0,0,0,0,0,0,0,107,4.28,0,0,0,0,0,0,0,0,0,1291.93,51.644,0,0,0,0,20,14,8,1,526,49,2.28,477,0.907,4
"Brian Flynn",C,4,0.154,20,0,317,12.192,4,0,0,5,9,0,0.4,60,36,24,6,0.231,0,26,3,1,10,0,0,0,0,11,0,10,0.385,0,4,24,0.923,0,0,0,0,0,0,1.885,18.423,14,0.538,0,0,0,1,479,0.122,49,1,9,381.69,14.658,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian Gionta",RW,12,0.25,23,0,670,13.958,10,0,0,9,19,0,0.333,42,28,14,14,0.292,0,48,15,3,37,0,0,4,0,40,0,26,0.542,8,4,115,2.396,2,0,0,5,7,0,2.333,23.25,18,0.375,0,0,0,0,1116,0.125,112,0,23,869.37,18.096,0.78,0,0,2,0,0,0,0,0,0,0,0,0,0
"Brian Lashoff",D,4,0.129,43,0,456,14.71,4,0,0,1,5,0,0,0,0,0,1,0.032,0,31,11,0,44,1,0,5,0,10,0,5,0.161,15,-10,3,0.097,0,0,0,0,0,0,0.839,25.258,60,1.935,0,0,0,0,783,0.038,26,0,3,551.28,17.765,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian Lee",D,0,0,28,0,287,13.045,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,0,49,0,0,8,0,9,0,0,0,16,-13,0,0,0,0,0,0,0,0,0.591,19.727,3,0.136,0,0,0,0,434,0,13,0,1,306.28,13.921,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0
